epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,26.0637,1.80469,3.0304,1.74749,0.04333,0.16049,0.03574,0.01452,2.0689,3.22029,1.85767,0.0016535,0.0016535,0.0016535
37,26.5813,2.18597,3.24014,1.87182,0.04333,0.16049,0.03574,0.01452,2.0689,3.22029,1.85767,0.0016436,0.0016436,0.0016436
38,27.1303,1.7654,2.8975,1.7315,0.05,0.18519,0.03971,0.01593,2.03751,3.18322,1.81546,0.0016337,0.0016337,0.0016337
39,27.6766,1.76129,3.10434,1.73246,0.05,0.18519,0.03971,0.01593,2.03751,3.18322,1.81546,0.0016238,0.0016238,0.0016238
40,28.2188,2.01994,3.04725,1.79241,0.05,0.18519,0.03971,0.01593,2.03751,3.18322,1.81546,0.0016139,0.0016139,0.0016139
41,28.7535,2.03337,3.17805,1.70571,0.05,0.18519,0.03971,0.01593,2.03751,3.18322,1.81546,0.001604,0.001604,0.001604
42,29.2955,1.9921,3.10824,1.72192,0.05,0.18519,0.03971,0.01593,2.03751,3.18322,1.81546,0.0015941,0.0015941,0.0015941
43,29.8344,2.04356,3.19682,1.80705,0.05,0.18519,0.03971,0.01593,2.03751,3.18322,1.81546,0.0015842,0.0015842,0.0015842
44,30.3712,1.91732,3.10843,1.81032,0.05,0.18519,0.03971,0.01593,2.03751,3.18322,1.81546,0.0015743,0.0015743,0.0015743
45,30.896,1.89597,3.1192,1.72619,0.05,0.18519,0.03971,0.01593,2.03751,3.18322,1.81546,0.0015644,0.0015644,0.0015644
46,31.4393,1.92868,3.09687,1.74936,0.05,0.18519,0.03971,0.01593,2.03751,3.18322,1.81546,0.0015545,0.0015545,0.0015545
47,31.98,2.0543,3.19213,1.75584,0.05,0.18519,0.03971,0.01593,2.03751,3.18322,1.81546,0.0015446,0.0015446,0.0015446
48,32.5263,2.09247,3.2471,1.778,0.05,0.18519,0.03971,0.01593,2.03751,3.18322,1.81546,0.0015347,0.0015347,0.0015347
49,33.0596,1.98212,3.04035,1.85355,0.05,0.18519,0.03971,0.01593,2.03751,3.18322,1.81546,0.0015248,0.0015248,0.0015248
50,33.5969,1.8676,3.09498,1.74414,0.05,0.18519,0.03971,0.01593,2.03751,3.18322,1.81546,0.0015149,0.0015149,0.0015149
51,34.1905,1.59513,3.07751,1.53958,0.194,0.71852,0.18504,0.11647,1.01652,2.45625,1.18247,0.001505,0.001505,0.001505
52,34.8633,1.33435,3.04493,1.27186,0.194,0.71852,0.18504,0.11647,1.01652,2.45625,1.18247,0.0014951,0.0014951,0.0014951
53,35.4923,1.15156,2.89801,1.27661,0.194,0.71852,0.18504,0.11647,1.01652,2.45625,1.18247,0.0014852,0.0014852,0.0014852
54,36.2034,1.18886,2.95459,1.27595,0.194,0.71852,0.18504,0.11647,1.01652,2.45625,1.18247,0.0014753,0.0014753,0.0014753
55,36.8994,1.04721,3.04459,1.22671,0.194,0.71852,0.18504,0.11647,1.01652,2.45625,1.18247,0.0014654,0.0014654,0.0014654
56,37.5877,1.20705,2.95896,1.31602,0.194,0.71852,0.18504,0.11647,1.01652,2.45625,1.18247,0.0014555,0.0014555,0.0014555
57,38.2999,1.33196,2.87079,1.34587,0.194,0.71852,0.18504,0.11647,1.01652,2.45625,1.18247,0.0014456,0.0014456,0.0014456
58,39.0255,1.4532,3.1794,1.31349,0.194,0.71852,0.18504,0.11647,1.01652,2.45625,1.18247,0.0014357,0.0014357,0.0014357
59,39.7528,1.43953,3.04737,1.38688,0.194,0.71852,0.18504,0.11647,1.01652,2.45625,1.18247,0.0014258,0.0014258,0.0014258
60,40.3929,1.18154,3.00834,1.29956,0.194,0.71852,0.18504,0.11647,1.01652,2.45625,1.18247,0.0014159,0.0014159,0.0014159
61,41.0656,1.08654,3.0603,1.27043,0.194,0.71852,0.18504,0.11647,1.01652,2.45625,1.18247,0.001406,0.001406,0.001406
62,41.7698,1.09036,3.14834,1.28815,0.194,0.71852,0.18504,0.11647,1.01652,2.45625,1.18247,0.0013961,0.0013961,0.0013961
63,42.4125,1.11912,3.15191,1.21099,0.194,0.71852,0.18504,0.11647,1.01652,2.45625,1.18247,0.0013862,0.0013862,0.0013862
64,43.079,1.88161,3.00753,1.58308,0.03467,0.1284,0.02182,0.00768,3.25008,4.07203,3.34401,0.0013763,0.0013763,0.0013763
65,43.755,2.30985,2.76527,1.92066,0.03467,0.1284,0.02182,0.00768,3.25008,4.07203,3.34401,0.0013664,0.0013664,0.0013664
66,44.4451,2.33959,2.73698,1.90562,0.03467,0.1284,0.02182,0.00768,3.25008,4.07203,3.34401,0.0013565,0.0013565,0.0013565
67,45.1424,2.26479,2.77234,1.8592,0.03467,0.1284,0.02182,0.00768,3.25008,4.07203,3.34401,0.0013466,0.0013466,0.0013466
68,45.8758,2.3092,2.78572,1.87972,0.03467,0.1284,0.02182,0.00768,3.25008,4.07203,3.34401,0.0013367,0.0013367,0.0013367
69,46.5519,2.13364,3.06636,1.69574,0.03467,0.1284,0.02182,0.00768,3.25008,4.07203,3.34401,0.0013268,0.0013268,0.0013268
70,47.198,2.25931,2.94309,1.80625,0.03467,0.1284,0.02182,0.00768,3.25008,4.07203,3.34401,0.0013169,0.0013169,0.0013169
